latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
40.77214,-122.12124,302.24,0.59,0.53,2025-07-19,925,N,VIIRS,n,2,292.08,1.19,N,0
40.82083,-114.25779,306.5,0.41,0.37,2025-07-19,925,N,VIIRS,n,2,291.55,1.28,N,2
40.82182,-122.05773,303.58,0.58,0.52,2025-07-19,925,N,VIIRS,n,2,291.74,1.93,N,0
40.82423,-114.25707,312.98,0.41,0.37,2025-07-19,925,N,VIIRS,n,2,292.62,1.28,N,2
40.82438,-122.0578,315.01,0.58,0.52,2025-07-19,925,N,VIIRS,n,2,292.09,2.02,N,0
40.82557,-122.04157,319.25,0.58,0.52,2025-07-19,925,N,VIIRS,n,2,290.82,2.06,N,0
40.82664,-122.05649,317.1,0.58,0.52,2025-07-19,925,N,VIIRS,n,2,291.84,2.75,N,0
40.82819,-122.04102,322.89,0.58,0.52,2025-07-19,925,N,VIIRS,n,2,292.27,2.95,N,0
40.82867,-122.04839,305.23,0.58,0.52,2025-07-19,925,N,VIIRS,n,2,291.12,2.95,N,0
40.8292,-122.05648,305.59,0.58,0.52,2025-07-19,925,N,VIIRS,n,2,291.67,2.02,N,0
40.83034,-122.03977,302.42,0.58,0.52,2025-07-19,925,N,VIIRS,n,2,290.83,2.06,N,0
40.83144,-122.05505,304.2,0.58,0.52,2025-07-19,925,N,VIIRS,n,2,291.64,2.75,N,0
41.24193,-123.33245,323.74,0.34,0.56,2025-07-19,925,N,VIIRS,n,2,291.51,2.3,N,0
41.24212,-123.33594,313.91,0.34,0.56,2025-07-19,925,N,VIIRS,n,2,291.77,4.85,N,0
41.24231,-123.33943,348.69,0.34,0.56,2025-07-19,925,N,VIIRS,n,2,293.21,4.85,N,0
41.24251,-123.34299,367,0.34,0.56,2025-07-19,925,N,VIIRS,h,2,294.99,6.41,N,0
41.24271,-123.34666,300.92,0.34,0.56,2025-07-19,925,N,VIIRS,n,2,290.72,6.41,N,0
41.24683,-123.32588,319.24,0.34,0.56,2025-07-19,925,N,VIIRS,n,2,290.83,2,N,0
41.24704,-123.32961,331.73,0.34,0.56,2025-07-19,925,N,VIIRS,n,2,292.44,4.69,N,0
41.24721,-123.33283,328.76,0.34,0.56,2025-07-19,925,N,VIIRS,n,2,293.37,4.69,N,0
41.24738,-123.33587,313.08,0.34,0.56,2025-07-19,925,N,VIIRS,n,2,293.27,2.36,N,0
41.24757,-123.33939,318.18,0.34,0.56,2025-07-19,925,N,VIIRS,n,2,293.47,2.36,N,0
41.24779,-123.34316,348.6,0.34,0.56,2025-07-19,925,N,VIIRS,n,2,294.28,3.9,N,0
41.24799,-123.34696,348.42,0.34,0.56,2025-07-19,925,N,VIIRS,n,2,293.86,3.9,N,0
41.24819,-123.35058,319.47,0.34,0.56,2025-07-19,925,N,VIIRS,n,2,291.21,1.9,N,0
41.24838,-123.35409,302.43,0.34,0.56,2025-07-19,925,N,VIIRS,n,2,290.19,1.9,N,0
41.25214,-123.32678,318.46,0.34,0.56,2025-07-19,925,N,VIIRS,n,2,290.89,2,N,0
41.25233,-123.33027,348.17,0.34,0.56,2025-07-19,925,N,VIIRS,n,2,293.34,4.69,N,0
41.25251,-123.33349,357.05,0.34,0.56,2025-07-19,925,N,VIIRS,n,2,296.52,4.69,N,0
41.2527,-123.33681,311.19,0.34,0.56,2025-07-19,925,N,VIIRS,n,2,292.14,2.36,N,0
41.2529,-123.34033,308.95,0.34,0.56,2025-07-19,925,N,VIIRS,n,2,291.9,2.36,N,0
41.2531,-123.34399,315.11,0.34,0.56,2025-07-19,925,N,VIIRS,n,2,292.51,3.9,N,0
41.25328,-123.34734,311.22,0.34,0.56,2025-07-19,925,N,VIIRS,n,2,292.43,3.9,N,0
41.25345,-123.35037,314.74,0.34,0.56,2025-07-19,925,N,VIIRS,n,2,292.04,1.9,N,0
41.25362,-123.35332,312.91,0.34,0.56,2025-07-19,925,N,VIIRS,n,2,291.85,1.9,N,0
41.25378,-123.35637,306.16,0.34,0.56,2025-07-19,925,N,VIIRS,n,2,291.3,1.62,N,0
41.25396,-123.35947,313.45,0.34,0.56,2025-07-19,925,N,VIIRS,n,2,291.53,1.62,N,0
41.25417,-123.3633,311.48,0.34,0.56,2025-07-19,925,N,VIIRS,n,2,291.19,2.02,N,0
41.25763,-123.3307,326.19,0.34,0.56,2025-07-19,925,N,VIIRS,n,2,292.06,7.81,N,0
41.25782,-123.33423,367,0.34,0.56,2025-07-19,925,N,VIIRS,h,2,298.41,7.81,N,0
41.25801,-123.33765,337.64,0.34,0.56,2025-07-19,925,N,VIIRS,n,2,293.97,11.38,N,0
41.25819,-123.4369,305.38,0.35,0.57,2025-07-19,925,N,VIIRS,n,2,289.65,0.72,N,0
41.25819,-123.34095,311.91,0.34,0.56,2025-07-19,925,N,VIIRS,n,2,292.95,11.38,N,0
41.25837,-123.34415,309.71,0.34,0.56,2025-07-19,925,N,VIIRS,n,2,292.75,3.6,N,0
41.25838,-123.44035,308,0.35,0.57,2025-07-19,925,N,VIIRS,n,2,290.58,0.72,N,0
41.25854,-123.34729,310.8,0.34,0.56,2025-07-19,925,N,VIIRS,n,2,292.51,3.6,N,0
41.25872,-123.35037,312.22,0.34,0.56,2025-07-19,925,N,VIIRS,n,2,291.76,10.42,N,0
41.25889,-123.35342,316.23,0.34,0.56,2025-07-19,925,N,VIIRS,n,2,292.07,10.42,N,0
41.25906,-123.35648,342.25,0.34,0.56,2025-07-19,925,N,VIIRS,n,2,293.24,6.22,N,0
41.25924,-123.35957,309.07,0.34,0.56,2025-07-19,925,N,VIIRS,n,2,291.28,6.22,N,0
41.25944,-123.3632,317.38,0.34,0.56,2025-07-19,925,N,VIIRS,n,2,291.17,1.7,N,0
41.25967,-123.36752,302.19,0.35,0.56,2025-07-19,925,N,VIIRS,n,2,290.53,1.7,N,0
41.25998,-123.37315,312.53,0.35,0.56,2025-07-19,925,N,VIIRS,n,2,291.51,1.74,N,0
41.26036,-123.3801,312.71,0.35,0.56,2025-07-19,925,N,VIIRS,n,2,290.88,1.74,N,0
41.26311,-123.33475,352.37,0.34,0.56,2025-07-19,925,N,VIIRS,n,2,294.35,7.81,N,0
41.26331,-123.33824,356.74,0.34,0.56,2025-07-19,925,N,VIIRS,n,2,305.24,11.38,N,0
41.26349,-123.3414,367,0.34,0.56,2025-07-19,925,N,VIIRS,h,2,298.15,11.38,N,0
41.26366,-123.34447,336.99,0.34,0.56,2025-07-19,925,N,VIIRS,n,2,295.39,3.6,N,0
41.26384,-123.34756,325.16,0.34,0.56,2025-07-19,925,N,VIIRS,n,2,293.71,3.6,N,0
41.26402,-123.35075,352.95,0.34,0.56,2025-07-19,925,N,VIIRS,n,2,298.23,10.42,N,0
41.26419,-123.35393,367,0.34,0.56,2025-07-19,925,N,VIIRS,h,2,303.93,10.42,N,0
41.26436,-123.35702,367,0.34,0.56,2025-07-19,925,N,VIIRS,h,2,298.33,6.22,N,0
41.26453,-123.3601,316.35,0.34,0.56,2025-07-19,925,N,VIIRS,n,2,293.02,6.22,N,0
41.26567,-123.38062,334.55,0.35,0.56,2025-07-19,925,N,VIIRS,n,2,293.18,1.74,N,0
41.26859,-123.3383,321.51,0.34,0.56,2025-07-19,925,N,VIIRS,n,2,291.75,2.76,N,0
41.2688,-123.34223,352.13,0.34,0.56,2025-07-19,925,N,VIIRS,n,2,295.7,2.76,N,0
41.26899,-123.34563,325.26,0.34,0.56,2025-07-19,925,N,VIIRS,n,2,294.09,2.9,N,0
41.26917,-123.34873,327.66,0.34,0.56,2025-07-19,925,N,VIIRS,n,2,294.46,2.9,N,0
41.26934,-123.35173,316.75,0.34,0.56,2025-07-19,925,N,VIIRS,n,2,293.53,2.22,N,0
41.2695,-123.35471,324.14,0.34,0.56,2025-07-19,925,N,VIIRS,n,2,293.46,2.22,N,0
41.26968,-123.35777,308.39,0.34,0.56,2025-07-19,925,N,VIIRS,n,2,291.7,1.97,N,0
41.27188,-123.30333,302.38,0.34,0.56,2025-07-19,925,N,VIIRS,n,2,289.96,0.68,N,0
41.27207,-123.30661,305.58,0.34,0.56,2025-07-19,925,N,VIIRS,n,2,290.34,0.68,N,0
