latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
40.82246,-114.25613,303.13,0.53,0.67,2025-08-28,835,N,VIIRS,n,2,283.44,1.39,N,2
36.35619,-114.91264,309.96,0.54,0.68,2025-08-28,836,N,VIIRS,n,2,286.89,1.62,N,2
36.35872,-114.91274,306.74,0.54,0.68,2025-08-28,836,N,VIIRS,n,2,284.53,2.93,N,2
40.82213,-114.25738,298.8,0.58,0.52,2025-08-28,1015,N,VIIRS,n,2,281.18,1.18,N,2
39.19498,-122.02343,307.37,0.43,0.38,2025-08-28,1016,N,VIIRS,n,2,289.42,0.9,N,0
39.20838,-121.59093,334.42,0.44,0.39,2025-08-28,1016,N,VIIRS,n,2,289.99,4.6,N,0
40.73565,-122.32333,303.4,0.41,0.37,2025-08-28,1016,N,VIIRS,n,2,291.06,0.44,N,2
40.77918,-122.63039,298.94,0.4,0.37,2025-08-28,1016,N,VIIRS,n,2,286.93,0.35,N,0
40.78003,-122.63527,304.82,0.4,0.37,2025-08-28,1016,N,VIIRS,n,2,286.16,0.68,N,0
40.78088,-122.64016,299.61,0.4,0.37,2025-08-28,1016,N,VIIRS,n,2,285.99,0.68,N,0
40.78251,-122.62931,318.15,0.4,0.37,2025-08-28,1016,N,VIIRS,n,2,288.92,1.26,N,0
40.78335,-122.6342,325.51,0.4,0.37,2025-08-28,1016,N,VIIRS,n,2,289.44,1.74,N,0
40.78421,-122.63909,309.92,0.4,0.37,2025-08-28,1016,N,VIIRS,n,2,286.69,1.74,N,0
40.89958,-122.85281,321.59,0.4,0.37,2025-08-28,1016,N,VIIRS,n,2,288.4,2.51,N,0
40.90293,-122.85203,331.67,0.4,0.37,2025-08-28,1016,N,VIIRS,n,2,291.03,3.49,N,0
40.90379,-122.857,309.74,0.4,0.37,2025-08-28,1016,N,VIIRS,n,2,285.44,1.6,N,0
40.90714,-122.85622,321.85,0.4,0.37,2025-08-28,1016,N,VIIRS,n,2,286.41,1.6,N,0
40.91049,-122.85545,307.92,0.4,0.37,2025-08-28,1016,N,VIIRS,n,2,285.18,1.05,N,0
41.21193,-123.17727,312.44,0.39,0.36,2025-08-28,1016,N,VIIRS,n,2,290.45,0.98,N,0
41.31297,-123.23243,303.05,0.39,0.36,2025-08-28,1016,N,VIIRS,n,2,288.02,0.55,N,0
41.4178,-123.26633,350.63,0.39,0.36,2025-08-28,1016,N,VIIRS,n,2,296.75,8.49,N,0
41.42106,-123.26519,328.54,0.39,0.36,2025-08-28,1016,N,VIIRS,n,2,291.04,8.49,N,0
41.52007,-123.53616,339,0.39,0.36,2025-08-28,1016,N,VIIRS,n,2,292.11,5.13,N,0
41.52085,-123.54084,352.69,0.39,0.36,2025-08-28,1016,N,VIIRS,n,2,294.71,5.13,N,0
41.52164,-123.54556,347.44,0.39,0.36,2025-08-28,1016,N,VIIRS,n,2,293.42,7.26,N,0
41.52258,-123.5305,335.12,0.39,0.36,2025-08-28,1016,N,VIIRS,n,2,292.08,2.95,N,0
41.52337,-123.53522,323.76,0.39,0.36,2025-08-28,1016,N,VIIRS,n,2,292.35,3.01,N,0
41.52494,-123.54464,310.66,0.39,0.36,2025-08-28,1016,N,VIIRS,n,2,290.99,5.24,N,0
41.52572,-123.54934,341.33,0.39,0.36,2025-08-28,1016,N,VIIRS,n,2,295.56,5.24,N,0
41.5265,-123.55404,354.41,0.39,0.36,2025-08-28,1016,N,VIIRS,n,2,295.05,7.23,N,0
41.52729,-123.55872,348.37,0.39,0.36,2025-08-28,1016,N,VIIRS,n,2,294.7,7.23,N,0
41.52807,-123.56342,336.78,0.39,0.36,2025-08-28,1016,N,VIIRS,n,2,293.59,2.27,N,0
41.52885,-123.56808,312.49,0.39,0.36,2025-08-28,1016,N,VIIRS,n,2,289.87,2.27,N,0
41.5298,-123.55311,307.97,0.39,0.36,2025-08-28,1016,N,VIIRS,n,2,290.48,7.23,N,0
41.53212,-123.5671,313.23,0.39,0.36,2025-08-28,1016,N,VIIRS,n,2,290.28,2.27,N,0
41.53976,-123.53031,306.63,0.39,0.36,2025-08-28,1016,N,VIIRS,n,2,290.3,0.83,N,0
41.54156,-123.52029,301.91,0.39,0.36,2025-08-28,1016,N,VIIRS,n,2,289.84,1.07,N,0
41.5423,-123.52479,314.88,0.39,0.36,2025-08-28,1016,N,VIIRS,n,2,291.51,1.07,N,0
41.54444,-123.55848,309.22,0.39,0.36,2025-08-28,1016,N,VIIRS,n,2,290.14,0.95,N,0
41.54484,-123.51934,312.27,0.39,0.36,2025-08-28,1016,N,VIIRS,n,2,291,1.07,N,0
41.54739,-123.51392,302.7,0.39,0.36,2025-08-28,1016,N,VIIRS,n,2,289.9,1.75,N,0
41.54771,-123.55745,316.49,0.39,0.36,2025-08-28,1016,N,VIIRS,n,2,290.91,1.58,N,0
41.54813,-123.51841,305.15,0.39,0.36,2025-08-28,1016,N,VIIRS,n,2,291.51,1.12,N,0
41.54887,-123.5229,316.5,0.39,0.36,2025-08-28,1016,N,VIIRS,n,2,291.85,1.12,N,0
41.54993,-123.50848,300.09,0.39,0.36,2025-08-28,1016,N,VIIRS,n,2,289.32,1.75,N,0
41.55069,-123.513,342.44,0.39,0.36,2025-08-28,1016,N,VIIRS,n,2,295.55,1.75,N,0
41.55142,-123.51746,313.97,0.39,0.36,2025-08-28,1016,N,VIIRS,n,2,291.72,1.12,N,0
41.55215,-123.52192,311.69,0.39,0.36,2025-08-28,1016,N,VIIRS,n,2,291.16,1.12,N,0
41.55291,-123.52651,323.74,0.39,0.36,2025-08-28,1016,N,VIIRS,n,2,291.35,1.6,N,0
41.55322,-123.50752,331.58,0.39,0.36,2025-08-28,1016,N,VIIRS,n,2,291.43,3.71,N,0
41.55368,-123.53113,305.84,0.39,0.36,2025-08-28,1016,N,VIIRS,n,2,290.79,1.6,N,0
41.55397,-123.51203,339.69,0.39,0.36,2025-08-28,1016,N,VIIRS,n,2,292.98,3.71,N,0
41.55426,-123.55542,307.52,0.39,0.36,2025-08-28,1016,N,VIIRS,n,2,290.49,2.69,N,0
41.55471,-123.51653,316.05,0.39,0.36,2025-08-28,1016,N,VIIRS,n,2,290.98,1.71,N,0
41.55501,-123.55998,337.22,0.39,0.36,2025-08-28,1016,N,VIIRS,n,2,291.61,2.69,N,0
41.55619,-123.52554,306,0.39,0.36,2025-08-28,1016,N,VIIRS,n,2,289.91,1.56,N,0
41.55696,-123.53016,328.15,0.39,0.36,2025-08-28,1016,N,VIIRS,n,2,291.73,1.56,N,0
41.55753,-123.55441,338.02,0.39,0.36,2025-08-28,1016,N,VIIRS,n,2,292.51,2.69,N,0
41.55828,-123.55898,329.73,0.39,0.36,2025-08-28,1016,N,VIIRS,n,2,291.32,2.69,N,0
41.55927,-123.54414,315.85,0.39,0.36,2025-08-28,1016,N,VIIRS,n,2,290.11,2.08,N,0
41.56004,-123.54877,308.62,0.39,0.36,2025-08-28,1016,N,VIIRS,n,2,290.52,2.08,N,0
41.56024,-123.52917,315.96,0.39,0.36,2025-08-28,1016,N,VIIRS,n,2,291.36,1.56,N,0
41.5608,-123.5534,318.88,0.39,0.36,2025-08-28,1016,N,VIIRS,n,2,290.82,2,N,0
