latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
40.82048,-114.2581,304.73,0.52,0.42,2025-08-13,956,N,VIIRS,n,2,290.9,1.54,N,2
40.82288,-114.2564,312.89,0.52,0.42,2025-08-13,956,N,VIIRS,n,2,291.96,1.91,N,2
40.82414,-114.25643,301.86,0.52,0.42,2025-08-13,956,N,VIIRS,n,2,290.97,1.11,N,2
41.23008,-116.87447,305.6,0.42,0.38,2025-08-13,956,N,VIIRS,n,2,288.39,0.9,N,0
41.231,-116.87947,298.01,0.42,0.38,2025-08-13,956,N,VIIRS,n,2,286.12,0.9,N,0
41.29265,-116.94259,298.09,0.42,0.37,2025-08-13,956,N,VIIRS,n,2,287.91,1.16,N,0
38.51368,-121.19447,300.8,0.39,0.36,2025-08-13,957,N,VIIRS,n,2,288.57,0.3,N,0
40.94046,-117.86162,303.04,0.4,0.37,2025-08-13,957,N,VIIRS,n,2,289.72,0.79,N,2
41.29639,-123.00349,315.1,0.43,0.38,2025-08-13,957,N,VIIRS,n,2,289.13,1.79,N,0
34.29162,-118.80096,314.19,0.44,0.38,2025-08-13,958,N,VIIRS,n,2,289.38,1.46,N,2
34.32127,-118.50968,301.17,0.45,0.39,2025-08-13,958,N,VIIRS,n,2,289.6,0.76,N,2
34.33451,-118.52147,317.26,0.44,0.39,2025-08-13,958,N,VIIRS,n,2,289.65,1.54,N,2
34.43074,-118.64575,307.12,0.44,0.38,2025-08-13,958,N,VIIRS,n,2,289.66,1.27,N,2
34.60826,-117.33817,319.64,0.49,0.4,2025-08-13,958,N,VIIRS,n,2,296.72,1.94,N,2
34.6099,-117.33621,311.22,0.49,0.4,2025-08-13,958,N,VIIRS,n,2,294.74,1.03,N,2
34.62105,-117.09858,312.12,0.5,0.41,2025-08-13,958,N,VIIRS,n,2,295.34,1.73,N,2
34.6221,-117.1039,304.81,0.5,0.41,2025-08-13,958,N,VIIRS,n,2,293.76,1.34,N,2
35.21635,-120.31059,311.84,0.39,0.36,2025-08-13,958,N,VIIRS,n,2,290.39,1.51,N,0
35.22181,-120.32247,304.43,0.39,0.36,2025-08-13,958,N,VIIRS,n,2,289.49,1.05,N,0
35.22252,-120.32669,299.27,0.39,0.36,2025-08-13,958,N,VIIRS,n,2,288.55,1.13,N,0
35.22441,-120.31744,306.34,0.39,0.36,2025-08-13,958,N,VIIRS,n,2,290.18,1.05,N,0
35.22512,-120.32165,314.62,0.39,0.36,2025-08-13,958,N,VIIRS,n,2,292.53,1.05,N,0
35.22583,-120.32586,308.14,0.39,0.36,2025-08-13,958,N,VIIRS,n,2,289.05,1.13,N,0
35.22654,-120.33008,310.88,0.39,0.36,2025-08-13,958,N,VIIRS,n,2,290.08,1.13,N,0
35.22725,-120.33431,347.58,0.39,0.36,2025-08-13,958,N,VIIRS,n,2,292.58,4.71,N,0
35.22772,-120.3166,320.36,0.39,0.36,2025-08-13,958,N,VIIRS,n,2,307.63,16.57,N,0
35.22797,-120.33856,326.67,0.39,0.36,2025-08-13,958,N,VIIRS,n,2,291.58,4.71,N,0
35.22844,-120.32083,330.61,0.39,0.36,2025-08-13,958,N,VIIRS,n,2,291.34,16.57,N,0
35.22869,-120.34285,321.38,0.39,0.36,2025-08-13,958,N,VIIRS,n,2,293.26,2.48,N,0
35.22915,-120.32503,301.07,0.39,0.36,2025-08-13,958,N,VIIRS,n,2,290.08,0.8,N,0
35.22941,-120.34713,316.23,0.39,0.36,2025-08-13,958,N,VIIRS,n,2,290.62,2.48,N,0
35.22986,-120.32926,302.88,0.39,0.36,2025-08-13,958,N,VIIRS,n,2,290.39,0.8,N,0
35.23057,-120.33351,343.03,0.39,0.36,2025-08-13,958,N,VIIRS,n,2,292.61,3.12,N,0
35.23104,-120.31579,306.63,0.39,0.36,2025-08-13,958,N,VIIRS,n,2,288.68,16.57,N,0
