latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
39.61988,-119.26243,302.39,0.48,0.48,2021-09-21,918,N,VIIRS,n,2,280.88,1.96,N,2
40.54966,-121.39767,296.35,0.32,0.54,2021-09-21,918,N,VIIRS,n,2,279.17,1,N,0
40.73468,-122.32511,304.28,0.36,0.57,2021-09-21,918,N,VIIRS,n,2,292.25,0.44,N,2
40.55076,-121.39742,297.49,0.48,0.64,2021-09-21,1058,N,VIIRS,n,2,277.92,0.59,N,0
39.44883,-122.03843,342.66,0.55,0.43,2021-09-21,2040,N,VIIRS,l,2,316.36,17.89,D,0
39.45266,-122.03974,367,0.55,0.43,2021-09-21,2040,N,VIIRS,l,2,338.24,142.14,D,0
39.48182,-121.92106,338.51,0.54,0.42,2021-09-21,2040,N,VIIRS,n,2,312.74,16.32,D,0
39.48266,-121.91639,350.55,0.54,0.42,2021-09-21,2040,N,VIIRS,n,2,317.34,24.81,D,0
39.48309,-121.91486,346.24,0.54,0.42,2021-09-21,2040,N,VIIRS,n,2,316.88,16.32,D,0
39.48563,-121.92237,339.74,0.54,0.42,2021-09-21,2040,N,VIIRS,n,2,310.63,16.32,D,0
39.48647,-121.91769,348.99,0.54,0.42,2021-09-21,2040,N,VIIRS,n,2,311.45,34.89,D,0
39.4869,-121.91617,339.62,0.54,0.42,2021-09-21,2040,N,VIIRS,n,2,310.34,16.32,D,0
39.61796,-119.26353,305.35,0.43,0.62,2021-09-22,859,N,VIIRS,n,2,284.09,1.3,N,2
40.55015,-121.3968,308.35,0.57,0.69,2021-09-22,859,N,VIIRS,n,2,278.46,1.62,N,0
40.55646,-121.39003,296.9,0.57,0.69,2021-09-22,859,N,VIIRS,n,2,277.75,1.62,N,0
40.55662,-121.39709,314.4,0.57,0.69,2021-09-22,859,N,VIIRS,n,2,280.23,1.62,N,0
40.55045,-121.39653,298.82,0.56,0.51,2021-09-22,1039,N,VIIRS,n,2,276.85,2.23,N,0
40.55177,-121.39584,307.49,0.56,0.51,2021-09-22,1039,N,VIIRS,n,2,277.42,1.63,N,0
40.55494,-121.39433,322.2,0.56,0.51,2021-09-22,1039,N,VIIRS,n,2,278.29,2.23,N,0
40.55627,-121.3937,316.29,0.56,0.51,2021-09-22,1039,N,VIIRS,n,2,276.87,1.63,N,0
40.57685,-121.35523,296.17,0.56,0.51,2021-09-22,1039,N,VIIRS,n,2,281.85,0.64,N,0
40.58852,-121.3616,297.34,0.56,0.51,2021-09-22,1039,N,VIIRS,n,2,282.63,0.83,N,0
39.62054,-119.26387,302.25,0.38,0.58,2021-09-22,1040,N,VIIRS,n,2,283.59,0.95,N,2
39.00237,-121.93253,307.67,0.64,0.54,2021-09-22,2021,N,VIIRS,l,2,314.71,77.07,D,0
39.00419,-121.92541,344.38,0.63,0.54,2021-09-22,2021,N,VIIRS,n,2,314.35,76.11,D,0
39.09733,-121.66193,339.21,0.61,0.54,2021-09-22,2021,N,VIIRS,n,2,308.46,3.49,D,0
39.15446,-121.68542,344.53,0.61,0.54,2021-09-22,2021,N,VIIRS,n,2,309.65,4.78,D,0
39.16603,-121.65978,354.11,0.61,0.53,2021-09-22,2021,N,VIIRS,n,2,309.16,7.05,D,0
39.15495,-121.68687,343.46,0.61,0.54,2021-09-22,2022,N,VIIRS,n,2,309.59,7.75,D,0
39.16668,-121.66132,349.41,0.61,0.53,2021-09-22,2022,N,VIIRS,n,2,308.47,10.51,D,0
39.21843,-122.17106,344.6,0.32,0.55,2021-09-22,2022,N,VIIRS,n,2,310.33,3.13,D,0
39.2233,-122.17311,367,0.32,0.55,2021-09-22,2022,N,VIIRS,h,2,308.58,5.99,D,0
39.24434,-122.09001,367,0.32,0.54,2021-09-22,2022,N,VIIRS,h,2,319.33,23.6,D,0
39.3006,-121.59491,333.99,0.6,0.53,2021-09-22,2022,N,VIIRS,n,2,301.4,3.47,D,0
39.4137,-121.81637,336.12,0.61,0.54,2021-09-22,2022,N,VIIRS,n,2,308.11,5.05,D,0
39.41543,-121.80946,341.34,0.61,0.54,2021-09-22,2022,N,VIIRS,n,2,305.74,7.4,D,0
39.60735,-122.12366,367,0.63,0.54,2021-09-22,2022,N,VIIRS,h,2,311.05,13.3,D,0
39.60761,-122.12441,356.75,0.63,0.54,2021-09-22,2022,N,VIIRS,n,2,316.36,45.52,D,0
39.60913,-122.11655,347.74,0.63,0.54,2021-09-22,2022,N,VIIRS,n,2,308.48,13.3,D,0
39.60942,-122.11733,348.06,0.63,0.54,2021-09-22,2022,N,VIIRS,n,2,308.61,28.15,D,0
39.61242,-122.12642,351.75,0.63,0.54,2021-09-22,2022,N,VIIRS,n,2,303.9,45.52,D,0
40.14085,-122.20348,330.93,0.61,0.54,2021-09-22,2022,N,VIIRS,l,2,305.1,4.83,D,0
39.09504,-121.6606,337.63,0.55,0.68,2021-09-22,2202,N,VIIRS,n,2,306.75,2.97,D,0
39.6184,-119.26443,299.47,0.77,0.77,2021-09-23,840,N,VIIRS,n,2,285.24,1.01,N,2
41.59061,-121.75179,297.05,0.47,0.4,2021-09-23,1020,N,VIIRS,n,2,279.65,1.16,N,0
39.61873,-119.26347,304.04,0.43,0.46,2021-09-23,1021,N,VIIRS,n,2,285.83,1.69,N,2
40.57701,-121.35915,302.89,0.5,0.41,2021-09-23,1021,N,VIIRS,n,2,280,1.59,N,0
40.73329,-122.28339,345.6,0.46,0.39,2021-09-23,1021,N,VIIRS,n,2,298.39,5.57,N,0
40.73433,-122.28873,331.11,0.46,0.39,2021-09-23,1021,N,VIIRS,n,2,294.02,5.57,N,0
40.73684,-122.28222,313.02,0.46,0.39,2021-09-23,1021,N,VIIRS,n,2,293.37,5.57,N,0
40.73686,-122.32114,303.57,0.46,0.39,2021-09-23,1021,N,VIIRS,n,2,291.43,0.44,N,2
40.7379,-122.28772,324.55,0.46,0.39,2021-09-23,1021,N,VIIRS,n,2,292.96,5.57,N,0
40.73892,-122.29295,314.35,0.46,0.39,2021-09-23,1021,N,VIIRS,n,2,292.05,2.21,N,0
40.74037,-122.28098,343.67,0.46,0.39,2021-09-23,1021,N,VIIRS,n,2,296.35,4.38,N,0
40.74145,-122.28653,340.68,0.46,0.39,2021-09-23,1021,N,VIIRS,n,2,296.67,4.38,N,0
40.74248,-122.29187,322.54,0.46,0.39,2021-09-23,1021,N,VIIRS,n,2,291.11,4.02,N,0
40.7439,-122.27972,324.79,0.46,0.39,2021-09-23,1021,N,VIIRS,n,2,292.73,4.38,N,0
40.74498,-122.28529,308.99,0.46,0.39,2021-09-23,1021,N,VIIRS,n,2,291.32,4.38,N,0
40.54823,-121.39551,336.34,0.47,0.64,2021-09-23,2003,N,VIIRS,n,2,297.61,5.14,D,0
40.55306,-121.39507,334.83,0.47,0.64,2021-09-23,2003,N,VIIRS,n,2,296.83,5.62,D,0
40.5552,-121.39357,329.85,0.47,0.64,2021-09-23,2003,N,VIIRS,n,2,298.11,6.54,D,0
40.67585,-122.31997,349.07,0.51,0.66,2021-09-23,2003,N,VIIRS,n,2,299.78,13.03,D,0
40.67812,-122.33466,326.48,0.51,0.66,2021-09-23,2003,N,VIIRS,n,2,294.14,4.93,D,0
40.67944,-122.30813,347.32,0.51,0.66,2021-09-23,2003,N,VIIRS,n,2,317.2,84.4,D,0
40.6799,-122.32874,332.14,0.51,0.66,2021-09-23,2003,N,VIIRS,n,2,295.1,13.03,D,0
40.68112,-122.30258,367,0.51,0.66,2021-09-23,2003,N,VIIRS,h,2,322.66,53.1,D,0
40.68171,-122.32278,337.15,0.51,0.66,2021-09-23,2003,N,VIIRS,n,2,296.73,13.03,D,0
40.68225,-122.34317,327.11,0.51,0.66,2021-09-23,2003,N,VIIRS,n,2,293.08,4.62,D,0
