latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
41.53696,-121.99462,296.53,0.62,0.71,2021-09-06,858,N,VIIRS,n,2,282.79,1.53,N,0
41.54364,-121.99467,302.63,0.62,0.71,2021-09-06,858,N,VIIRS,n,2,283.91,1.53,N,0
41.54373,-122.0006,306.42,0.62,0.71,2021-09-06,858,N,VIIRS,n,2,284.79,1.53,N,0
41.54619,-121.99786,300.73,0.62,0.71,2021-09-06,858,N,VIIRS,n,2,284.54,0.9,N,0
41.54625,-122.00404,298.14,0.62,0.71,2021-09-06,858,N,VIIRS,n,2,283.8,1.21,N,0
41.55294,-121.73663,300.12,0.6,0.7,2021-09-06,858,N,VIIRS,n,2,281.24,0.95,N,0
39.61843,-119.26273,309.11,0.43,0.62,2021-09-06,859,N,VIIRS,n,2,289.18,1.4,N,2
39.61866,-119.26276,308.67,0.43,0.62,2021-09-06,859,N,VIIRS,n,2,288.92,1.95,N,2
39.90315,-120.6098,303.33,0.51,0.66,2021-09-06,859,N,VIIRS,n,2,289.9,2.23,N,0
39.93665,-120.30359,326.56,0.49,0.65,2021-09-06,859,N,VIIRS,n,2,287.7,4.38,N,0
39.94238,-120.2922,297.93,0.49,0.65,2021-09-06,859,N,VIIRS,n,2,287.2,3.83,N,0
39.94271,-120.30194,367,0.49,0.65,2021-09-06,859,N,VIIRS,h,2,298.61,7.52,N,0
39.943,-120.31052,326.2,0.49,0.65,2021-09-06,859,N,VIIRS,n,2,289.82,7.52,N,0
39.94486,-120.36549,367,0.5,0.66,2021-09-06,859,N,VIIRS,h,2,294.71,12.54,N,0
39.9451,-120.37238,352.15,0.5,0.66,2021-09-06,859,N,VIIRS,n,2,292.82,12.54,N,0
39.94531,-120.37893,309.09,0.5,0.66,2021-09-06,859,N,VIIRS,n,2,287.35,4.12,N,0
39.94847,-120.29153,306.11,0.49,0.65,2021-09-06,859,N,VIIRS,n,2,287.26,3.83,N,0
39.94876,-120.30003,333.12,0.49,0.65,2021-09-06,859,N,VIIRS,n,2,293.26,7.52,N,0
39.94906,-120.30874,315.24,0.49,0.65,2021-09-06,859,N,VIIRS,n,2,289.66,7.52,N,0
