latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
39.62054,-119.26241,313.36,0.39,0.36,2021-08-02,955,N,VIIRS,n,2,291.56,1.04,N,2
39.68528,-122.15405,320.57,0.4,0.37,2021-08-02,955,N,VIIRS,n,2,292.08,1,N,0
39.7994,-121.04105,309.45,0.39,0.36,2021-08-02,955,N,VIIRS,n,2,288.62,0.54,N,0
39.92893,-121.15876,304.8,0.39,0.36,2021-08-02,955,N,VIIRS,n,2,290.42,1.1,N,0
39.93086,-121.1488,301.21,0.39,0.36,2021-08-02,955,N,VIIRS,n,2,286.85,0.52,N,0
39.93095,-121.17235,315.83,0.39,0.36,2021-08-02,955,N,VIIRS,n,2,289.11,2.13,N,0
39.93154,-121.15334,310.24,0.39,0.36,2021-08-02,955,N,VIIRS,n,2,288.77,1.1,N,0
39.93236,-121.20459,307.74,0.39,0.36,2021-08-02,955,N,VIIRS,n,2,284.43,1.17,N,0
39.93357,-121.16695,301.78,0.39,0.36,2021-08-02,955,N,VIIRS,n,2,287.98,0.92,N,0
39.93364,-121.19032,295.45,0.39,0.36,2021-08-02,955,N,VIIRS,n,2,283.92,1.77,N,0
39.93415,-121.14796,308.55,0.39,0.36,2021-08-02,955,N,VIIRS,n,2,290.2,0.81,N,0
39.93483,-121.15249,308.88,0.39,0.36,2021-08-02,955,N,VIIRS,n,2,288.51,1.73,N,0
39.93499,-121.19927,297.49,0.39,0.36,2021-08-02,955,N,VIIRS,n,2,283.52,0.43,N,0
39.93551,-121.15701,321.61,0.39,0.36,2021-08-02,955,N,VIIRS,n,2,286.74,1.73,N,0
39.93605,-121.09242,300.96,0.39,0.36,2021-08-02,955,N,VIIRS,n,2,287.79,0.71,N,0
39.93627,-121.18497,306.71,0.39,0.36,2021-08-02,955,N,VIIRS,n,2,288.34,1.32,N,0
39.93694,-121.18947,339.38,0.39,0.36,2021-08-02,955,N,VIIRS,n,2,290.78,1.77,N,0
39.93745,-121.14715,306.6,0.39,0.36,2021-08-02,955,N,VIIRS,n,2,289.04,0.81,N,0
39.93761,-121.19396,295.53,0.39,0.36,2021-08-02,955,N,VIIRS,n,2,283.44,1.77,N,0
39.938,-121.0827,298.16,0.39,0.36,2021-08-02,955,N,VIIRS,n,2,287.58,0.73,N,0
39.93813,-121.15164,311.94,0.39,0.36,2021-08-02,955,N,VIIRS,n,2,287.82,1.73,N,0
39.93867,-121.08715,299.38,0.39,0.36,2021-08-02,955,N,VIIRS,n,2,288.35,0.67,N,0
39.9388,-121.15615,325.32,0.39,0.36,2021-08-02,955,N,VIIRS,n,2,290.53,1.73,N,0
39.93899,-121.22602,303.47,0.39,0.36,2021-08-02,955,N,VIIRS,n,2,285.21,0.54,N,0
39.93934,-121.09159,308.78,0.39,0.36,2021-08-02,955,N,VIIRS,n,2,289.27,0.67,N,0
39.93956,-121.18411,317.59,0.39,0.36,2021-08-02,955,N,VIIRS,n,2,288.29,3.23,N,0
39.93966,-121.23048,297.37,0.39,0.36,2021-08-02,955,N,VIIRS,n,2,285.01,0.54,N,0
39.94001,-121.09603,310.36,0.39,0.36,2021-08-02,955,N,VIIRS,n,2,290.87,0.98,N,0
39.94016,-121.16522,305.42,0.39,0.36,2021-08-02,955,N,VIIRS,n,2,289.91,1.97,N,0
39.94023,-121.18861,310.4,0.39,0.36,2021-08-02,955,N,VIIRS,n,2,287.84,1.44,N,0
39.94083,-121.16975,326.16,0.39,0.36,2021-08-02,955,N,VIIRS,n,2,293.3,3.04,N,0
39.94142,-121.15083,316.65,0.39,0.36,2021-08-02,955,N,VIIRS,n,2,287.79,1.55,N,0
39.94151,-121.17425,319.95,0.39,0.36,2021-08-02,955,N,VIIRS,n,2,289.04,3.04,N,0
39.94197,-121.08629,301.5,0.39,0.36,2021-08-02,955,N,VIIRS,n,2,288.38,0.67,N,0
39.94209,-121.15532,309.6,0.39,0.36,2021-08-02,955,N,VIIRS,n,2,286.86,1.55,N,0
39.94218,-121.17876,348.01,0.39,0.36,2021-08-02,955,N,VIIRS,n,2,293.2,3.23,N,0
39.94263,-121.09073,300.33,0.39,0.36,2021-08-02,955,N,VIIRS,n,2,288.15,0.67,N,0
39.94277,-121.15982,307.82,0.39,0.36,2021-08-02,955,N,VIIRS,n,2,288.32,2.67,N,0
39.94286,-121.18325,317.36,0.39,0.36,2021-08-02,955,N,VIIRS,n,2,289.81,3.23,N,0
39.94331,-121.09518,307.84,0.39,0.36,2021-08-02,955,N,VIIRS,n,2,291.66,0.98,N,0
39.94344,-121.16436,314.99,0.39,0.36,2021-08-02,955,N,VIIRS,n,2,291.29,2.67,N,0
39.94397,-121.09961,304.25,0.39,0.36,2021-08-02,955,N,VIIRS,n,2,290.07,0.98,N,0
39.94413,-121.16888,334.83,0.39,0.36,2021-08-02,955,N,VIIRS,n,2,298.55,5.2,N,0
39.9448,-121.1734,338.57,0.39,0.36,2021-08-02,955,N,VIIRS,n,2,293.9,5.2,N,0
39.94539,-121.15448,323.37,0.39,0.36,2021-08-02,955,N,VIIRS,n,2,289.78,1.55,N,0
39.94547,-121.17789,325.86,0.39,0.36,2021-08-02,955,N,VIIRS,n,2,292.42,3.4,N,0
39.94606,-121.15897,322.74,0.39,0.36,2021-08-02,955,N,VIIRS,n,2,291.73,2.67,N,0
39.94674,-121.16348,342.2,0.39,0.36,2021-08-02,955,N,VIIRS,n,2,297.83,2.67,N,0
39.94741,-121.16801,350.26,0.39,0.36,2021-08-02,955,N,VIIRS,n,2,301.03,5.2,N,0
39.94809,-121.17253,331.76,0.39,0.36,2021-08-02,955,N,VIIRS,n,2,295.67,5.2,N,0
39.94869,-121.15368,307.21,0.39,0.36,2021-08-02,955,N,VIIRS,n,2,288.38,0.93,N,0
39.94936,-121.15816,341.02,0.39,0.36,2021-08-02,955,N,VIIRS,n,2,296.5,9.34,N,0
39.95003,-121.16263,358.03,0.39,0.36,2021-08-02,955,N,VIIRS,n,2,306.26,9.34,N,0
39.95056,-121.0979,300.35,0.39,0.36,2021-08-02,955,N,VIIRS,n,2,289.19,1.65,N,0
39.95071,-121.16714,339.9,0.39,0.36,2021-08-02,955,N,VIIRS,n,2,296.08,5.54,N,0
39.95132,-121.14848,300.6,0.39,0.36,2021-08-02,955,N,VIIRS,n,2,287.78,0.93,N,0
39.95138,-121.17165,308.35,0.39,0.36,2021-08-02,955,N,VIIRS,n,2,287.88,5.54,N,0
39.95189,-121.10678,314.13,0.39,0.36,2021-08-02,955,N,VIIRS,n,2,290.89,2.27,N,0
39.95195,-121.12984,307.45,0.39,0.36,2021-08-02,955,N,VIIRS,n,2,289.07,0.84,N,0
39.95205,-121.17616,303.81,0.39,0.36,2021-08-02,955,N,VIIRS,n,2,286.34,3.63,N,0
39.95266,-121.15733,344.7,0.39,0.36,2021-08-02,955,N,VIIRS,n,2,300.39,9.34,N,0
39.95273,-121.18066,313.45,0.39,0.36,2021-08-02,955,N,VIIRS,n,2,286.32,3.63,N,0
