latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
39.61865,-119.2635,315.5,0.35,0.57,2021-09-11,905,N,VIIRS,n,2,286.63,1.29,N,2
40.54986,-121.40472,296.89,0.47,0.64,2021-09-11,905,N,VIIRS,n,2,277.92,1.35,N,0
41.62474,-121.73221,300.55,0.5,0.65,2021-09-11,905,N,VIIRS,n,2,281.31,1.18,N,0
41.63738,-121.74519,307.15,0.5,0.65,2021-09-11,905,N,VIIRS,n,2,281.23,1.19,N,0
41.63756,-121.75153,297.17,0.5,0.66,2021-09-11,905,N,VIIRS,n,2,281.23,1.19,N,0
41.65563,-121.73993,298.39,0.5,0.65,2021-09-11,905,N,VIIRS,n,2,281.02,0.73,N,0
41.62723,-121.73644,296.17,0.6,0.53,2021-09-11,1045,N,VIIRS,n,2,280.92,1.5,N,0
41.63533,-121.74759,298.63,0.6,0.53,2021-09-11,1045,N,VIIRS,n,2,281.27,1.32,N,0
41.63996,-121.74524,297.97,0.6,0.53,2021-09-11,1045,N,VIIRS,n,2,281.05,1.17,N,0
39.61903,-119.26468,301.8,0.45,0.63,2021-09-11,1046,N,VIIRS,n,2,284.19,1.36,N,2
39.68344,-122.15611,301.95,0.32,0.55,2021-09-11,1046,N,VIIRS,n,2,289.76,0.63,N,0
39.78775,-122.04475,304.06,0.32,0.55,2021-09-11,1046,N,VIIRS,n,2,289.74,0.73,N,0
40.54691,-121.41447,295.93,0.33,0.56,2021-09-11,1046,N,VIIRS,n,2,277.14,0.64,N,0
40.5479,-121.41827,298.18,0.33,0.56,2021-09-11,1046,N,VIIRS,n,2,277.29,0.64,N,0
40.5485,-121.37883,299.89,0.33,0.56,2021-09-11,1046,N,VIIRS,n,2,275.63,0.69,N,0
40.54965,-121.40407,295.06,0.33,0.56,2021-09-11,1046,N,VIIRS,n,2,277.28,0.69,N,0
40.57383,-121.35962,295.72,0.33,0.56,2021-09-11,1046,N,VIIRS,n,2,280.06,0.66,N,0
40.5742,-121.38156,298.85,0.33,0.56,2021-09-11,1046,N,VIIRS,n,2,280.32,0.41,N,0
40.57616,-121.35894,296.89,0.34,0.56,2021-09-11,1046,N,VIIRS,n,2,280.37,0.84,N,0
40.57663,-121.38168,296.21,0.33,0.56,2021-09-11,1046,N,VIIRS,n,2,279.33,0.75,N,0
40.60596,-121.43899,310.57,0.33,0.55,2021-09-11,1046,N,VIIRS,n,2,282.62,0.82,N,0
40.61093,-121.4371,295.56,0.33,0.55,2021-09-11,1046,N,VIIRS,n,2,284.68,0.82,N,0
40.69503,-121.31088,296.97,0.33,0.56,2021-09-11,1046,N,VIIRS,n,2,279.37,0.46,N,0
40.69917,-121.39891,306.41,0.33,0.55,2021-09-11,1046,N,VIIRS,n,2,284.71,1.26,N,0
40.70217,-121.39926,310.89,0.33,0.55,2021-09-11,1046,N,VIIRS,n,2,284.38,1.8,N,0
40.70526,-121.39034,300.4,0.33,0.55,2021-09-11,1046,N,VIIRS,n,2,282.92,0.65,N,0
40.70615,-121.39369,304.17,0.33,0.55,2021-09-11,1046,N,VIIRS,n,2,283.43,1.1,N,0
40.71088,-121.30853,320.77,0.33,0.56,2021-09-11,1046,N,VIIRS,n,2,282.84,1.6,N,0
40.71178,-121.31192,309.31,0.33,0.56,2021-09-11,1046,N,VIIRS,n,2,283.47,1.6,N,0
40.74601,-121.35846,299.65,0.33,0.55,2021-09-11,1046,N,VIIRS,n,2,281.64,0.5,N,0
40.76259,-121.33842,300.6,0.33,0.55,2021-09-11,1046,N,VIIRS,n,2,281.21,0.79,N,0
40.76765,-121.33688,310.37,0.33,0.55,2021-09-11,1046,N,VIIRS,n,2,282.91,1.62,N,0
39.08649,-121.65392,334.18,0.51,0.49,2021-09-11,2028,N,VIIRS,n,2,306.31,1.69,D,0
39.24466,-121.66155,354.68,0.5,0.49,2021-09-11,2028,N,VIIRS,n,2,306.98,7.92,D,0
39.28516,-121.6523,332.56,0.5,0.49,2021-09-11,2028,N,VIIRS,l,2,307.41,3.78,D,0
39.78622,-122.0462,340.94,0.51,0.5,2021-09-11,2028,N,VIIRS,n,2,307.97,9.54,D,0
39.78759,-122.04037,349.41,0.51,0.5,2021-09-11,2028,N,VIIRS,n,2,315.61,24.91,D,0
39.78776,-122.04245,354.27,0.51,0.49,2021-09-11,2028,N,VIIRS,n,2,317.66,32.78,D,0
40.54682,-121.40382,334.21,0.46,0.47,2021-09-11,2028,N,VIIRS,n,2,301.29,3.16,D,0
40.76587,-121.33926,334.32,0.45,0.47,2021-09-11,2028,N,VIIRS,n,2,299.43,4.03,D,0
40.76721,-121.3334,335.43,0.45,0.47,2021-09-11,2028,N,VIIRS,n,2,303.14,6.67,D,0
40.77334,-121.30662,331.11,0.45,0.47,2021-09-11,2028,N,VIIRS,n,2,298.62,5.42,D,0
39.79064,-122.03884,334.1,0.64,0.72,2021-09-11,2208,N,VIIRS,l,2,305.06,8.08,D,0
39.78532,-122.04686,333.87,0.64,0.72,2021-09-11,2209,N,VIIRS,n,2,305.56,3.41,D,0
39.78541,-122.03906,331.25,0.64,0.72,2021-09-11,2209,N,VIIRS,l,2,305.72,3.41,D,0
40.70243,-121.39787,330.58,0.7,0.75,2021-09-11,2209,N,VIIRS,n,2,295.98,6.61,D,0
40.70245,-121.39071,339.37,0.7,0.75,2021-09-11,2209,N,VIIRS,n,2,297.78,6.61,D,0
