latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
39.61784,-119.26237,301.13,0.38,0.36,2021-07-28,949,N,VIIRS,n,2,288.13,1.17,N,2
39.62113,-119.26152,299.66,0.38,0.36,2021-07-28,949,N,VIIRS,n,2,288.37,0.53,N,2
39.71012,-121.93349,303.06,0.43,0.38,2021-07-28,949,N,VIIRS,n,2,290.65,0.5,N,0
39.92528,-121.16383,298.5,0.41,0.37,2021-07-28,949,N,VIIRS,n,2,284.34,0.63,N,0
39.92594,-121.1687,295.71,0.41,0.37,2021-07-28,949,N,VIIRS,n,2,284.01,0.98,N,0
39.92867,-121.16295,296.76,0.41,0.37,2021-07-28,949,N,VIIRS,n,2,284.27,0.94,N,0
39.92933,-121.16787,299.99,0.41,0.37,2021-07-28,949,N,VIIRS,n,2,285.46,1.03,N,0
39.92999,-121.17274,300.16,0.41,0.37,2021-07-28,949,N,VIIRS,n,2,284.95,1.03,N,0
39.93272,-121.16699,310.5,0.41,0.37,2021-07-28,949,N,VIIRS,n,2,286.62,1.03,N,0
39.93338,-121.17188,315.28,0.41,0.37,2021-07-28,949,N,VIIRS,n,2,287.36,1.03,N,0
39.93533,-121.18629,317.9,0.41,0.37,2021-07-28,949,N,VIIRS,n,2,285.24,2.45,N,0
39.93544,-121.16115,319.95,0.41,0.37,2021-07-28,949,N,VIIRS,n,2,286.23,1.62,N,0
39.93611,-121.16609,319.56,0.41,0.37,2021-07-28,949,N,VIIRS,n,2,288.15,1.74,N,0
39.93677,-121.171,308.26,0.41,0.37,2021-07-28,949,N,VIIRS,n,2,286.72,1.74,N,0
39.93742,-121.1758,305.88,0.41,0.37,2021-07-28,949,N,VIIRS,n,2,285.54,0.83,N,0
39.93806,-121.1806,299.52,0.41,0.37,2021-07-28,949,N,VIIRS,n,2,284.76,0.83,N,0
39.93816,-121.1553,311.13,0.41,0.37,2021-07-28,949,N,VIIRS,n,2,283.56,1.62,N,0
